Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
66.87114,0.008224991,52.38929868907401,4.540998330164542,0,1,7550.9424,-0.03065615,6,1,false,false,-0.5442375,1.0043576,10.056542,-0.0031429108,-0.0067551224,3
66.88848,0.008489978,52.389307945377666,4.541004645734301,0,1,7573.435,-0.031203689,6,1,false,false,-0.5477932,0.90297616,9.513568,-0.003268977,-0.0074130623,3
66.90547,0.008755036,52.389317201681315,4.5410109610799525,0,1,7566.763,-0.031477075,6,1,false,false,-0.15037593,1.0046443,7.8238535,-0.0034046376,-0.0071700932,3
66.92629,0.009020171,52.389326457984964,4.541017276649712,0,1,7561.477,-0.03311895,6,1,false,false,-1.1053977,1.1215677,10.487131,-0.0035433583,-0.0070396317,3
66.943146,0.009285381,52.38933571428861,4.541023591995364,0,1,7571.6416,-0.035034955,6,1,false,false,-0.38534373,0.7934129,8.307994,-0.0036701448,-0.00730449,3
66.960464,0.0095506525,52.38934497059227,4.541029907565123,0,1,7593.419,-0.03394063,6,1,false,false,-0.3115961,1.175543,10.50354,-0.0038114227,-0.008958761,3
66.982254,0.009816007,52.38935422689592,4.541036222910774,0,1,7584.237,-0.032023855,6,1,false,false,-0.63287014,1.1153784,10.168669,-0.003949092,-0.0066475365,3
67.00289,0.010081442,52.38936348319957,4.541042538480533,0,1,7556.9067,-0.031203683,6,1,false,false,-0.43315905,1.1497066,9.615324,-0.004063152,-0.0063493727,3
67.022224,0.010346961,52.389372739503216,4.541048853826185,0,1,7575.9727,-0.031203689,6,1,false,false,-0.30773586,0.9448323,10.698132,-0.0041778577,-0.0062192217,3
67.03929,0.010612547,52.389381995806865,4.5410551693959444,0,1,7586.248,-0.03229801,6,1,false,false,-0.808204,0.98624533,10.059152,-0.004295741,-0.007405626,3
67.05783,0.010878204,52.38939134206541,4.541061484741596,0,1,7575.2993,-0.032572154,6,1,false,false,-0.37854433,1.0888412,9.544518,-0.004428178,-0.008014025,3
67.07703,0.011143939,52.38940059836906,4.541067800311355,0,1,7576.805,-0.032572158,6,1,false,false,-0.8139777,0.9766847,9.253648,-0.004558911,-0.0073725753,3
67.095184,0.011409748,52.389409854672714,4.541074115657007,0,1,7578.1167,-0.033392332,6,1,false,false,-0.6142733,0.9351715,9.144733,-0.0046899104,-0.0067175096,3
67.11161,0.011675622,52.38941911097636,4.541080431226766,0,1,7583.883,-0.035034955,6,1,false,false,-0.6927923,0.86747926,8.294011,-0.004815233,-0.007002612,3
67.12937,0.011941565,52.38942836728001,4.541086746572418,0,1,7595.952,-0.036130026,6,1,false,false,-0.89497465,0.9911261,10.060742,-0.0049475096,-0.0073304046,3
67.14742,0.012207582,52.389437713538555,4.541093062142177,0,1,7595.187,-0.036403414,6,1,false,false,-0.562855,0.9148196,9.935749,-0.0050818278,-0.0075561455,3
67.16584,0.012473668,52.389446969842204,4.5410993774878285,0,1,7601.166,-0.036403418,6,1,false,false,-0.6397568,1.0161898,10.198071,-0.005226979,-0.008850109,3
67.18543,0.012739829,52.38945622614585,4.541105839847914,0,1,7608.2983,-0.036403418,6,1,false,false,-1.067003,1.1366467,10.2130165,-0.0053869034,-0.00974299,3
67.20511,0.013006067,52.38946548244951,4.541112155193566,0,1,7592.4717,-0.036403418,6,1,false,false,-0.41288102,1.1699558,8.966346,-0.005559204,-0.009347787,3
67.22486,0.013272387,52.3894748284338,4.541118470763325,0,1,7589.7983,-0.036950946,6,1,false,false,-0.8371128,0.97217095,11.388013,-0.005740536,-0.01200484,3
67.243744,0.0135387825,52.38948408473745,4.541124786108977,0,1,7607.2983,-0.03749849,6,1,false,false,-1.146104,0.8310941,9.422178,-0.0059501086,-0.013116367,3
67.26184,0.013805249,52.38949343099599,4.541131248469062,0,1,7607.0415,-0.038045287,6,1,false,false,-0.85638964,1.007622,11.397556,-0.0061519076,-0.012621473,3
67.2811,0.014071787,52.38950268729964,4.541137564038822,0,1,7585.8843,-0.038319424,6,1,false,false,-0.9926398,1.026638,11.070807,-0.006360704,-0.0126499655,3
